course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
56585,Twitter Bootstrap 2 for Beginners,https://www.udemy.com/twitter-bootstrap/,True,20,2388,139,12,Beginner Level,1.0,2013-05-29T18:13:10Z,Web Development
944156,Javascript :basics for beginners,https://www.udemy.com/learn-javascript-fast/,True,30,1057,22,12,Beginner Level,0.6166666666666667,2016-08-29T17:01:28Z,Web Development
742712,CSS Tutorial For Beginners: Style Your Wordpress Templates,https://www.udemy.com/css-tutorial-for-beginners-style-your-wordpress-templates/,True,35,1049,22,47,Beginner Level,3.5,2016-01-27T20:44:18Z,Web Development
814848,WordPress Basics to Business: Share and Sell your Expertise,https://www.udemy.com/wordpress-basics-to-business/,True,50,1125,10,45,Beginner Level,3.5,2016-04-07T21:06:31Z,Web Development
128384,Big Data and Apache Hadoop for Developers - Fundamentals,https://www.udemy.com/learn-big-data-and-apache-hadoop-for-developers-online/,True,30,1154,89,9,Intermediate Level,3.0,2013-12-10T09:14:57Z,Web Development
856968,How to Make a Wordpress Website 2017,https://www.udemy.com/how-to-wordpress/,False,0,2437,137,10,Beginner Level,0.5666666666666667,2016-06-07T00:02:04Z,Web Development
1179104,Learning Path: React: Make Stunning React Websites,https://www.udemy.com/learning-path-react-make-stunning-react-websites/,True,200,91,5,53,Expert Level,6.5,2017-04-18T16:49:41Z,Web Development
1152012,Adobe Experience Manager CMS Basics,https://www.udemy.com/adobe-experience-manager-basics/,True,35,81,14,33,Beginner Level,1.0,2017-05-02T16:54:56Z,Web Development
673196,Introduction to Frontend Web Development For  Beginners,https://www.udemy.com/programming-for-web-development-from-scratch/,True,145,1018,28,48,Beginner Level,4.5,2016-08-02T16:54:13Z,Web Development
846156,JavaScript Complete Guide to learning JavaScript,https://www.udemy.com/javascript-complete-guide-to-learning-javascript/,True,200,1296,22,72,Beginner Level,5.5,2016-05-17T17:19:48Z,Web Development
